epoch,global_step,train_loss,train_accuracy,train_perplexity,learning_rate,val_loss,val_accuracy,val_perplexity,model_type,encoding
11821,82754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11822,82761,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11823,82768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11824,82775,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11825,82782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11826,82789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11827,82796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11828,82803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11829,82810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11830,82817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11831,82824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11832,82831,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11833,82838,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11834,82845,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11835,82852,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11836,82859,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11837,82866,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11838,82873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11839,82880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11840,82887,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11841,82894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11842,82901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11843,82908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11844,82915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11845,82922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11846,82929,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11847,82936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11848,82943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11849,82950,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11850,82957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11851,82964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11852,82971,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11853,82978,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11854,82985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11855,82992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
11856,82999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,transformer,embedding
